id,lens,metric_space,n_cubes,overlap,eps,min_samples,n_nodes,n_edges,n_components,n_loops,avg_degree,max_degree,density,avg_node_size,max_node_size,size_entropy,collapse_ratio,score,var_mgAF_dia_total,var_mgAF_suple_1T,var_mgAF_saf,var_total_AF_mg,var_dias_saf,var_pn_hijo,var_eg_hijo,var_edad_madre,var_imc_antes,var_dif_imc,var_hijo_problema,var_consume_suple,bio_score
18641,dif_imc,cont_std,20,0.2,2.5,5,8,4,4,0,1.0,2,0.1429,14.5,54,1.682,0.077,0.2984,3.0908,3.0745,3.0116,164156.2244,3334.3144,19852.2685,0.3586,6.9213,2.1909,1.2211,0.0031,0.0,0.2076930185686002
7348,umap_5_05,all_mixed,12,0.5,1.5,3,7,3,4,0,0.86,1,0.1429,5.6,15,1.692,0.021,0.2983,0.0017,0.0004,0.0004,3.2387,0.0,3383.6241,0.2208,0.9402,2.7892,0.2828,0.0,0.0,0.0026386841996776933
11843,mgAF_suple_1T,all_mixed,20,0.4,5.0,5,15,12,3,0,1.6,2,0.1143,68.8,300,2.224,0.426,0.2983,5.109,5.1375,4.7012,105468.1987,941.9298,14145.0746,0.1618,1.6216,3.4633,0.2648,0.0019,0.021,0.2660455994167652
13121,total_AF_mg,cont_std,12,0.5,5.0,5,14,10,4,0,1.43,3,0.1099,87.4,394,1.867,0.559,0.2983,4.1099,4.1045,5.0541,291062.8568,7042.4459,24892.5338,0.2497,1.0371,1.5716,0.221,0.0085,0.0012,0.3095015628832789
21306,densidad,all_mixed,8,0.5,3.5,2,19,13,6,0,1.37,7,0.076,64.9,591,1.108,0.838,0.2982,3.683,3.7191,3.5421,226347.0628,7577.6685,98024.4679,2.0216,8.3405,85.4778,7.0724,0.0051,0.093,0.2889445512014342
17657,edad_madre,cont_rob,8,0.2,5.0,5,10,6,4,0,1.2,3,0.1333,77.2,200,1.82,0.284,0.2981,0.6516,0.6702,0.7148,9727.7451,873.129,28208.7482,0.174,33.4455,1.082,0.5085,0.0113,0.0112,0.05268328763006758
10760,mgAF_total,all_mixed,20,0.4,3.5,5,15,12,3,0,1.6,4,0.1143,72.5,287,2.188,0.407,0.2981,4.3551,4.4102,4.2677,86092.8342,3170.9189,6225.8208,0.1244,2.2272,1.7843,0.3945,0.0011,0.1156,0.2242325900510809
15460,eg_hijo,cont_std,20,0.5,5.0,3,15,10,5,0,1.33,3,0.0952,86.7,555,1.453,0.787,0.298,6.0872,6.0445,4.2359,162003.6171,4600.4087,347255.3453,6.2376,2.6731,1.643,0.4343,0.004,0.0036,0.4377272479847993
16712,pn_hijo,cont_rob,12,0.5,2.0,5,8,4,4,0,1.0,3,0.1429,18.6,50,1.665,0.071,0.298,3.0423,3.0024,3.0015,165459.7392,3388.0,86620.1567,0.2198,5.0715,2.1489,1.3446,0.0117,0.0,0.22539306931041012
21614,excentricidad,cont_std,8,0.2,3.5,5,9,4,5,0,0.89,1,0.1111,69.6,331,1.553,0.47,0.298,4.6248,4.6426,5.2743,160645.523,8303.7861,6024.454,0.1001,1.0715,1.9309,0.2426,0.0026,0.0775,0.2668747364964517
