mapper_1,nodo_g1,mapper_2,nodo_g2,jaccard,n_inter
B,cube0_cluster0,C,cube4_cluster0,0.11654135338345864,31
B,cube4_cluster0,C,cube3_cluster3,0.11363636363636363,5
B,cube2_cluster0,C,cube4_cluster1,0.1076923076923077,21
B,cube4_cluster0,C,cube5_cluster5,0.10526315789473684,4
B,cube6_cluster0,C,cube3_cluster5,0.10526315789473684,4
B,cube2_cluster0,C,cube5_cluster0,0.10270270270270271,19
B,cube0_cluster0,C,cube3_cluster2,0.10069444444444445,29
B,cube0_cluster3,C,cube6_cluster6,0.1,1
B,cube7_cluster0,C,cube4_cluster7,0.1,1
B,cube4_cluster1,C,cube6_cluster1,0.1,1
B,cube0_cluster0,C,cube6_cluster0,0.0916030534351145,24
B,cube1_cluster0,C,cube6_cluster0,0.08908045977011494,31
B,cube0_cluster0,C,cube5_cluster3,0.08550185873605948,23
B,cube6_cluster0,C,cube6_cluster3,0.08333333333333333,3
B,cube0_cluster0,C,cube4_cluster2,0.08300395256916997,21
B,cube0_cluster0,C,cube5_cluster1,0.08267716535433071,21
B,cube5_cluster0,C,cube5_cluster0,0.07746478873239436,22
B,cube5_cluster0,C,cube4_cluster5,0.07741935483870968,12
B,cube0_cluster0,C,cube4_cluster8,0.07633587786259542,20
B,cube1_cluster0,C,cube5_cluster3,0.07541899441340782,27
B,cube1_cluster0,C,cube5_cluster6,0.07536231884057971,26
B,cube4_cluster0,C,cube2_cluster0,0.075,3
B,cube1_cluster0,C,cube4_cluster8,0.07449856733524356,26
B,cube1_cluster0,C,cube4_cluster0,0.0743801652892562,27
B,cube5_cluster0,C,cube4_cluster3,0.07236842105263158,11
B,cube7_cluster0,C,cube5_cluster2,0.07142857142857142,2
B,cube5_cluster0,C,cube3_cluster3,0.07096774193548387,11
B,cube0_cluster0,C,cube5_cluster6,0.06513409961685823,17
B,cube2_cluster0,C,cube3_cluster2,0.06422018348623854,7
B,cube5_cluster0,C,cube5_cluster4,0.0641025641025641,10
B,cube4_cluster0,C,cube4_cluster5,0.06382978723404255,3
B,cube4_cluster0,C,cube4_cluster10,0.05714285714285714,2
B,cube4_cluster0,C,cube5_cluster9,0.05714285714285714,2
B,cube7_cluster0,C,cube4_cluster6,0.05555555555555555,2
B,cube4_cluster0,C,cube5_cluster2,0.05454545454545454,3
B,cube5_cluster0,C,cube5_cluster5,0.052980132450331126,8
B,cube1_cluster0,C,cube2_cluster1,0.05084745762711865,18
B,cube7_cluster0,C,cube5_cluster4,0.05,1
B,cube0_cluster0,D,cube3_cluster0,0.13380281690140844,38
B,cube6_cluster0,D,cube5_cluster0,0.1320754716981132,7
B,cube4_cluster0,D,cube15_cluster0,0.1282051282051282,5
B,cube4_cluster0,D,cube22_cluster0,0.1282051282051282,5
B,cube0_cluster0,D,cube6_cluster0,0.12455516014234876,35
B,cube4_cluster0,D,cube19_cluster0,0.12244897959183673,6
B,cube5_cluster0,D,cube13_cluster0,0.11650485436893204,24
B,cube6_cluster0,D,cube2_cluster0,0.11538461538461539,6
B,cube6_cluster0,D,cube9_cluster0,0.11475409836065574,7
B,cube5_cluster0,D,cube18_cluster0,0.11458333333333333,22
B,cube4_cluster0,D,cube24_cluster0,0.11363636363636363,5
B,cube5_cluster0,D,cube26_cluster0,0.10606060606060606,21
B,cube1_cluster0,D,cube13_cluster0,0.10471204188481675,40
B,cube0_cluster0,D,cube18_cluster0,0.10211267605633803,29
B,cube5_cluster0,D,cube3_cluster0,0.09852216748768473,20
B,cube1_cluster0,D,cube3_cluster0,0.09788359788359788,37
B,cube4_cluster0,D,cube14_cluster0,0.09615384615384616,5
B,cube1_cluster0,D,cube26_cluster0,0.096,36
B,cube5_cluster0,D,cube17_cluster0,0.09497206703910614,17
B,cube2_cluster0,D,cube13_cluster0,0.09401709401709402,11
B,cube1_cluster0,D,cube23_cluster0,0.09366391184573003,34
B,cube2_cluster0,D,cube17_cluster0,0.09302325581395349,8
B,cube1_cluster0,D,cube18_cluster0,0.0913978494623656,34
B,cube4_cluster1,D,cube19_cluster0,0.09090909090909091,2
B,cube1_cluster0,D,cube6_cluster0,0.09066666666666667,34
B,cube5_cluster0,D,cube6_cluster0,0.09045226130653267,18
B,cube4_cluster0,D,cube18_cluster0,0.0898876404494382,8
B,cube5_cluster0,D,cube27_cluster0,0.0893854748603352,16
B,cube1_cluster0,D,cube11_cluster0,0.08839779005524862,32
B,cube1_cluster0,D,cube30_cluster0,0.08287292817679558,30
B,cube0_cluster0,D,cube13_cluster0,0.08223684210526316,25
B,cube4_cluster0,D,cube25_cluster0,0.08196721311475409,5
B,cube0_cluster0,D,cube26_cluster0,0.08163265306122448,24
B,cube6_cluster0,D,cube17_cluster0,0.08108108108108109,6
B,cube2_cluster0,D,cube25_cluster0,0.08,6
B,cube2_cluster0,D,cube20_cluster0,0.08,6
B,cube2_cluster0,D,cube9_cluster0,0.07894736842105263,6
B,cube6_cluster0,D,cube10_cluster0,0.0784313725490196,4
B,cube6_cluster0,D,cube18_cluster0,0.07692307692307693,7
B,cube2_cluster0,D,cube18_cluster0,0.07692307692307693,8
B,cube6_cluster0,D,cube11_cluster0,0.075,6
B,cube4_cluster0,D,cube16_cluster0,0.075,3
B,cube5_cluster0,D,cube32_cluster0,0.0748663101604278,14
B,cube5_cluster0,D,cube11_cluster0,0.07446808510638298,14
B,cube5_cluster0,D,cube14_cluster0,0.07407407407407407,12
B,cube0_cluster0,D,cube35_cluster0,0.07392996108949416,19
B,cube0_cluster0,D,cube29_cluster0,0.07392996108949416,19
B,cube4_cluster0,D,cube26_cluster0,0.07368421052631578,7
B,cube2_cluster0,D,cube26_cluster0,0.07339449541284404,8
B,cube2_cluster0,D,cube12_cluster0,0.07317073170731707,6
B,cube2_cluster0,D,cube5_cluster0,0.07246376811594203,5
B,cube1_cluster0,D,cube7_cluster0,0.07202216066481995,26
B,cube6_cluster0,D,cube28_cluster0,0.07142857142857142,4
B,cube6_cluster0,D,cube33_cluster0,0.07142857142857142,4
B,cube6_cluster0,D,cube34_cluster0,0.07142857142857142,4
B,cube1_cluster0,D,cube32_cluster0,0.07084468664850137,26
B,cube1_cluster0,D,cube17_cluster0,0.06887052341597796,25
B,cube4_cluster0,D,cube27_cluster0,0.0684931506849315,5
B,cube4_cluster0,D,cube17_cluster0,0.06756756756756757,5
B,cube7_cluster0,D,cube35_cluster0,0.06666666666666667,2
B,cube7_cluster0,D,cube29_cluster0,0.06666666666666667,2
B,cube4_cluster0,D,cube13_cluster0,0.0660377358490566,7
B,cube0_cluster0,D,cube27_cluster0,0.06521739130434782,18
B,cube1_cluster0,D,cube12_cluster0,0.06406685236768803,23
B,cube0_cluster0,D,cube11_cluster0,0.0636042402826855,18
B,cube0_cluster0,D,cube12_cluster0,0.05860805860805861,16
B,cube5_cluster0,D,cube20_cluster0,0.057803468208092484,10
B,cube1_cluster0,D,cube27_cluster0,0.05737704918032787,21
B,cube0_cluster0,D,cube17_cluster0,0.05734767025089606,16
B,cube2_cluster0,D,cube34_cluster0,0.05714285714285714,4
B,cube2_cluster0,D,cube28_cluster0,0.05714285714285714,4
B,cube2_cluster0,D,cube33_cluster0,0.05714285714285714,4
B,cube5_cluster0,D,cube23_cluster0,0.05670103092783505,11
B,cube1_cluster0,D,cube9_cluster0,0.056179775280898875,20
B,cube5_cluster0,D,cube10_cluster0,0.05555555555555555,9
B,cube6_cluster0,D,cube27_cluster0,0.05333333333333334,4
B,cube0_cluster0,D,cube32_cluster0,0.05263157894736842,15
B,cube5_cluster0,D,cube30_cluster0,0.05263157894736842,10
B,cube3_cluster0,D,cube24_cluster0,0.05263157894736842,1
B,cube0_cluster0,D,cube25_cluster0,0.05223880597014925,14
B,cube5_cluster0,D,cube25_cluster0,0.05172413793103448,9
B,cube6_cluster0,D,cube26_cluster0,0.05102040816326531,5
B,cube1_cluster0,D,cube25_cluster0,0.05042016806722689,18
C,cube1_cluster1,D,cube19_cluster1,0.16666666666666666,1
C,cube4_cluster3,D,cube14_cluster0,0.16666666666666666,5
C,cube4_cluster8,D,cube29_cluster0,0.11538461538461539,6
C,cube4_cluster8,D,cube35_cluster0,0.11538461538461539,6
C,cube4_cluster0,D,cube13_cluster0,0.11504424778761062,13
C,cube2_cluster2,D,cube19_cluster1,0.1111111111111111,1
C,cube5_cluster2,D,cube4_cluster0,0.10869565217391304,5
C,cube5_cluster5,D,cube14_cluster0,0.10714285714285714,3
C,cube5_cluster5,D,cube21_cluster0,0.10526315789473684,2
C,cube4_cluster6,D,cube22_cluster0,0.10526315789473684,4
C,cube4_cluster6,D,cube15_cluster0,0.10526315789473684,4
C,cube5_cluster3,D,cube20_cluster0,0.1044776119402985,7
C,cube4_cluster0,D,cube12_cluster0,0.10256410256410256,8
C,cube6_cluster6,D,cube5_cluster0,0.1,3
C,cube5_cluster3,D,cube13_cluster0,0.1,11
C,cube4_cluster2,D,cube6_cluster0,0.0975609756097561,8
C,cube5_cluster2,D,cube7_cluster0,0.0967741935483871,6
C,cube4_cluster0,D,cube2_cluster0,0.09375,6
C,cube5_cluster0,D,cube13_cluster0,0.09345794392523364,20
C,cube4_cluster1,D,cube13_cluster0,0.09333333333333334,21
